key_000,0
key_001,10
key_003,20
key_008,30
key_019,40
key_042,50
key_089,60
key_034,70
key_075,80
key_009,90
key_027,100
key_064,0
key_139,10
key_140,20
key_143,30
key_002,40
key_020,50
key_056,60
key_129,70
key_126,80
key_121,90
key_112,100
key_095,0
key_062,10
key_147,20
key_018,30
key_061,40
key_148,50
key_023,60
key_074,70
key_028,80
key_086,90
key_053,100
key_138,0
key_010,10
key_054,20
key_144,30
key_024,40
key_085,50
key_058,60
key_005,70
key_050,80
key_141,90
key_025,100
key_093,0
key_080,10
key_055,20
key_006,30
key_059,40
key_016,50
key_081,60
key_063,70
key_029,80
key_110,90
key_123,100
key_004,0
key_065,10
key_036,20
key_130,30
key_021,40
key_101,50
key_113,60
key_137,70
key_037,80
key_142,90
key_048,100
key_011,0
key_088,10
key_094,20
key_106,30
key_131,40
key_032,50
key_135,60
key_043,70
key_012,80
key_098,90
key_122,100
key_022,0
key_124,10
key_026,20
key_132,30
key_044,40
key_030,50
key_145,60
key_073,70
key_082,80
key_099,90
key_134,100
key_057,0
key_052,10
key_045,20
key_031,30
key_007,40
key_107,50
key_013,60
key_120,70
key_035,80
key_017,90
key_133,100
key_066,0
